# 股票在所有持仓中出现次数 

Count: 5,  Stock name: 宁德时代
Count: 4,  Stock name: 爱尔眼科
Count: 4,  Stock name: 五粮液
Count: 4,  Stock name: 比亚迪
Count: 4,  Stock name: 赣锋锂业
Count: 4,  Stock name: 迈瑞医疗
Count: 4,  Stock name: 贵州茅台
Count: 4,  Stock name: 长春高新
Count: 3,  Stock name: 京东方A
Count: 3,  Stock name: 美的集团
Count: 3,  Stock name: 长城汽车
Count: 3,  Stock name: 泸州老窖
Count: 3,  Stock name: 隆基股份
Count: 3,  Stock name: 天赐材料
Count: 3,  Stock name: 华友钴业
Count: 3,  Stock name: 亿纬锂能
Count: 3,  Stock name: 药明康德
Count: 3,  Stock name: 汇川技术
Count: 3,  Stock name: 中国平安
Count: 3,  Stock name: 恒瑞医药
Count: 2,  Stock name: 福耀玻璃
Count: 2,  Stock name: 嘉元科技
Count: 2,  Stock name: 凯莱英
Count: 2,  Stock name: 德赛电池
Count: 2,  Stock name: 海大集团
Count: 2,  Stock name: 海康威视
Count: 2,  Stock name: 腾讯控股
Count: 2,  Stock name: 荣盛石化
Count: 2,  Stock name: 通策医疗
Count: 2,  Stock name: 深信服
Count: 2,  Stock name: 万华化学
Count: 2,  Stock name: 韦尔股份
Count: 2,  Stock name: 恩捷股份
Count: 2,  Stock name: 新宙邦
Count: 2,  Stock name: 雅化集团
Count: 2,  Stock name: 顺丰控股
Count: 2,  Stock name: 英科医疗
Count: 2,  Stock name: 片仔癀
Count: 2,  Stock name: 智飞生物
Count: 2,  Stock name: 泰格医药
Count: 2,  Stock name: 中国中免
Count: 2,  Stock name: 中航光电
Count: 2,  Stock name: 兆易创新
Count: 1,  Stock name: 航天电器
Count: 1,  Stock name: 航天发展
Count: 1,  Stock name: 和而泰
Count: 1,  Stock name: 恒瑞医疗
Count: 1,  Stock name: 华测检测
Count: 1,  Stock name: 华大基因
Count: 1,  Stock name: 华海药业
Count: 1,  Stock name: 华兰生物
Count: 1,  Stock name: 华微电子
Count: 1,  Stock name: 汇顶科技
Count: 1,  Stock name: 健帆生物
Count: 1,  Stock name: 杰瑞股份
Count: 1,  Stock name: 金域医学
Count: 1,  Stock name: 锦浪科技
Count: 1,  Stock name: 晶方科技
Count: 1,  Stock name: 均胜电子
Count: 1,  Stock name: 康泰生物
Count: 1,  Stock name: 科达利
Count: 1,  Stock name: 立讯精密
Count: 1,  Stock name: 鲁西化工
Count: 1,  Stock name: 洛阳钼业
Count: 1,  Stock name: 火炬电子
Count: 1,  Stock name: 迈为股份
Count: 1,  Stock name: 芒果超媒
Count: 1,  Stock name: 安井食品
Count: 1,  Stock name: 美团-W
Count: 1,  Stock name: 百润股份
Count: 1,  Stock name: 欧普康视
Count: 1,  Stock name: 博通集成
Count: 1,  Stock name: 平安银行
Count: 1,  Stock name: 启明星辰
Count: 1,  Stock name: 长安汽车
Count: 1,  Stock name: 三诺生物
Count: 1,  Stock name: 三一重工
Count: 1,  Stock name: 杉杉股份
Count: 1,  Stock name: 山煤国际
Count: 1,  Stock name: 山西汾酒
Count: 1,  Stock name: 上海贝岭
Count: 1,  Stock name: 长电科技
Count: 1,  Stock name: 盛新锂能
Count: 1,  Stock name: 圣邦股份
Count: 1,  Stock name: 士兰微
Count: 1,  Stock name: 双汇发展
Count: 1,  Stock name: 晨光文具
Count: 1,  Stock name: 顺络电子
Count: 1,  Stock name: 创世纪
Count: 1,  Stock name: 太极实业
Count: 1,  Stock name: 当升科技
Count: 1,  Stock name: 德方纳米
Count: 1,  Stock name: 天齐锂业
Count: 1,  Stock name: 东方日升
Count: 1,  Stock name: 通威股份
Count: 1,  Stock name: 东方雨虹
Count: 1,  Stock name: 同兴达
Count: 1,  Stock name: 拓普集团
Count: 1,  Stock name: 多氟多
Count: 1,  Stock name: 法拉电子
Count: 1,  Stock name: 方大炭素
Count: 1,  Stock name: 先导智能
Count: 1,  Stock name: 香港交易所
Count: 1,  Stock name: 欣旺达
Count: 1,  Stock name: 格力电器
Count: 1,  Stock name: 古井贡酒
Count: 1,  Stock name: 洋河股份
Count: 1,  Stock name: 广信股份
Count: 1,  Stock name: 药明生物
Count: 1,  Stock name: 伊利股份
Count: 1,  Stock name: 颐海国际
